"","launched_at","total_pledged","cumsum"
"131",2020-03-26,2015228.28,448260167.77
"132",2020-03-27,509963.73,448770131.5
"133",2020-03-28,637674.87,449407806.37
"134",2020-03-29,91002.36,449498808.73
"135",2020-03-30,451395.74,449950204.47
"136",2020-03-31,9793581.93,459743786.4
"137",2020-04-01,694373.03,460438159.43
"138",2020-04-02,23157014.77,483595174.2
"139",2020-04-03,358993.81,483954168.01
"140",2020-04-04,267348.11,484221516.12
"141",2020-04-05,28653.68,484250169.8
"142",2020-04-06,418842.49,484669012.29
"143",2020-04-07,7412223.55,492081235.84
"144",2020-04-08,5367815.17,497449051.01
"145",2020-04-09,580655.16,498029706.17
"146",2020-04-10,292254.28,498321960.45
"147",2020-04-11,709546.43,499031506.88
"148",2020-04-12,459889.27,499491396.15
"149",2020-04-13,507518.05,499998914.2
"150",2020-04-14,9215438.41,509214352.61
"151",2020-04-15,12462158.57,521676511.18
"152",2020-04-16,601263.75,522277774.93
"153",2020-04-17,1493218.34,523770993.27
"154",2020-04-18,188763.36,523959756.63
"155",2020-04-19,446217.92,524405974.55
"156",2020-04-20,1474046.03,525880020.58
"157",2020-04-21,5824806.23,531704826.81
"158",2020-04-22,2249934.25,533954761.06
"159",2020-04-23,633410.14,534588171.2
"160",2020-04-24,1051471.16,535639642.36
"161",2020-04-25,419530.07,536059172.43
"162",2020-04-26,146640.13,536205812.56
"163",2020-04-27,776256.59,536982069.15
"164",2020-04-28,15904661.66,552886730.81
"165",2020-04-29,1157794.05,554044524.86
"166",2020-04-30,1534191.31,555578716.17
"167",2020-05-01,2058322.34,557637038.51
"168",2020-05-02,116009.08,557753047.59
"169",2020-05-03,227850.13,557980897.72
"170",2020-05-04,2245674.93,560226572.65
"171",2020-05-05,11563380.51,571789953.16
"172",2020-05-06,16571492.83,588361445.99
"173",2020-05-07,2538530.81,590899976.8
"174",2020-05-08,808290.42,591708267.22
"175",2020-05-09,181526.01,591889793.23
"176",2020-05-10,246538.03,592136331.26
"177",2020-05-11,1389847.19,593526178.45
"178",2020-05-12,5577779.45,599103957.9
"179",2020-05-13,729705.66,599833663.56
"180",2020-05-14,273812.33,600107475.89
"181",2020-05-15,60459.9,600167935.79
"182",2020-05-16,255336.47,600423272.26
"183",2020-05-17,90730.84,600514003.1
"184",2020-05-18,676001.07,601190004.17
"185",2020-05-19,3046629.12,604236633.29
"186",2020-05-20,1662915.97,605899549.26
"187",2020-05-21,1206561.2,607106110.46
"188",2020-05-22,236935.92,607343046.38
"189",2020-05-23,876506.55,608219552.93
"190",2020-05-24,75171.55,608294724.48
"191",2020-05-25,4561079.21,612855803.69
"192",2020-05-26,2279564.52,615135368.21
"193",2020-05-27,2874117.56,618009485.77
"194",2020-05-28,7218183.51,625227669.28
"195",2020-05-29,7703027.32,632930696.6
"196",2020-05-30,137634.98,633068331.58
"197",2020-05-31,376198.86,633444530.44
"198",2020-06-01,1753923.3,635198453.74
"199",2020-06-02,8903926.49,644102380.23
"200",2020-06-03,2254978.1,646357358.33
"201",2020-06-04,468972.11,646826330.44
"202",2020-06-05,864307.07,647690637.51
"203",2020-06-06,379294.96,648069932.47
"204",2020-06-07,641305.95,648711238.42
"205",2020-06-08,4390989.25,653102227.67
"206",2020-06-09,5452670.9,658554898.57
"207",2020-06-10,3845583.63,662400482.2
"208",2020-06-11,1528265.98,663928748.18
"209",2020-06-12,939040.57,664867788.75
"210",2020-06-13,526322.81,665394111.56
"211",2020-06-14,235615.26,665629726.82
"212",2020-06-15,5428811.5,671058538.32
"213",2020-06-16,20262319.85,691320858.17
"214",2020-06-17,1041863.54,692362721.71
"215",2020-06-18,4591438.15,696954159.86
"216",2020-06-19,2490797.01,699444956.87
"217",2020-06-20,1006101.76,700451058.63
"218",2020-06-21,1794814.03,702245872.66
"219",2020-06-22,2587372.01,704833244.67
"220",2020-06-23,8703560.68,713536805.35
"221",2020-06-24,1805607.04,715342412.39
"222",2020-06-25,9092818.05,724435230.44
"223",2020-06-26,340529.23,724775759.67
"224",2020-06-27,489913.99,725265673.66
"225",2020-06-28,108042.45,725373716.11
"226",2020-06-29,6208967.67,731582683.78
"227",2020-06-30,44732487.48,776315171.26
"228",2020-07-01,1936069.05,778251240.31
"229",2020-07-02,1695704.01,779946944.32
"230",2020-07-03,905445.62,780852389.94
"231",2020-07-04,209434.19,781061824.13
"232",2020-07-05,682378.21,781744202.34
"233",2020-07-06,2027821.76,783772024.1
"234",2020-07-07,9618607.15,793390631.25
"235",2020-07-08,4369350.44,797759981.69
"236",2020-07-09,6299723.43,804059705.12
"237",2020-07-10,2568528.6,806628233.72
"238",2020-07-11,211282.81,806839516.53
"239",2020-07-12,1182074.95,808021591.48
"240",2020-07-13,669660.91,808691252.39
"241",2020-07-14,5919033.95,814610286.34
"242",2020-07-15,5733363.91,820343650.25
